,username,Popularity_score_norm,Reach_score_norm,degree_centrality_norm,eigenvector_centrality_norm,closeness_centrality_norm,pagerank_norm,occurrence_norm,final_score,Ranking
39,zhusu,0.0047837051035686156,0.005146813315136655,0.7107438016528924,0.4895373072344415,0.37313432835820864,0.28405640828762235,0.47058823529411764,2.337990599245988,0.53
40,pmarca,0.005540837205399668,0.009962656522555282,0.6694214876033058,0.7597019521848442,0.6722689075630249,0.8408059496663002,0.7450980392156863,3.7027998299611165,0.91
41,CathieDWood,0.001591289984435185,0.013637020108298115,0.4958677685950413,0.5994037394355338,0.48437499999999994,0.6581168130599143,0.5686274509803921,2.8216190821636147,0.69
42,LynAldenContact,0.0068682984725472,0.004717288529803757,0.4545454545454544,0.6370304975986204,0.5238095238095236,0.40285244924565333,0.6078431372549019,2.637666649456505,0.63
43,TuurDemeester,0.0013805138691544024,0.0021761228938528285,0.743801652892562,0.7811096402185399,0.6722689075630249,0.4815634885611691,0.7450980392156863,3.4273983652139894,0.87
44,PeterMcCormack,0.009408769720282687,0.004541564992451112,0.8760330578512397,0.6764653537935685,0.5645161290322579,0.7004069377020036,0.6666666666666666,3.49803847975847,0.88
45,Blockstream,0.00029885832528935843,0.0017321028642259587,0.6198347107438017,0.5512167714438767,0.4274809160305341,0.3184575968718831,0.5098039215686274,2.428824877848238,0.56
46,lopp,0.005519485110408184,0.0037411084822135425,0.6611570247933883,0.7316894115169097,0.6500000000000001,0.5136168993351949,0.7254901960784313,3.291214125316546,0.83
47,adam3us,0.0027099794944826085,0.00448571703266973,0.5702479338842974,0.6389179551096303,0.5238095238095236,0.41495405849518785,0.6078431372549019,2.7629683050806935,0.67
48,rogerkver,0.0007835762403787004,0.006896230716212803,0.4545454545454544,0.39718553772226983,0.30434782608695654,0.2684207562871469,0.37254901960784315,1.8047284012062623,0.27
49,starkness,0.0001392623195045535,0.0012846329108131915,0.4958677685950413,0.7586630568999035,0.6500000000000001,0.5497819440132601,0.7254901960784313,3.1812268608169543,0.8
50,aantonop,0.001468322204310356,0.006867796666945165,0.1322314049586776,0.6657577457336309,0.5563740567585298,0.44062539957446734,0.6274509803921569,2.430775706288718,0.57
51,AriDavidPaul,0.0008361155806247296,0.0019599833138686223,0.8181818181818181,0.5978661803300487,0.5039370078740155,0.3511768468017929,0.5882352941176471,2.862193246199816,0.7
52,Snowden,0.023739384991094098,0.04930409426475303,0.0,0.3636722214645496,0.27034619026806533,0.2433457764373361,0.3137254901960784,1.2641331576218766,0.1
53,jerallaire,0.0006480081883306308,0.0008951995785083436,0.7768595041322314,0.5277000501999776,0.4274809160305341,0.3086459464640725,0.5294117647058824,2.571641389299537,0.61
54,Excellion,0.00310865201698584,0.002188169805137454,0.5619834710743802,0.4258229111217566,0.3211678832116787,0.25181100691998776,0.4117647058823529,1.9778468000322795,0.39
55,FrancisSuarez,0.0012682170647687857,0.0011455694506800425,0.4380165289256198,0.25683105862643973,0.17808219178082185,0.2345142043700505,0.21568627450980393,1.3255440447281845,0.12
56,brucefenton,0.0017094355384512482,0.0007631379798223788,0.8181818181818181,0.5729719616103324,0.4461538461538464,0.3163511702134849,0.5490196078431373,2.7051509775208924,0.64
57,davidmarcus,0.00046494617943261936,0.00087518631095467,0.4545454545454544,0.505726438759772,0.37313432835820864,0.3183693867735773,0.45098039215686275,2.1040961330842625,0.46
